Navn,Type 1,Type 2,Type 3,Type 4,Type 5,Type 6,Type 7,Type 8,Type 9,Type 10,Type 11,Type 12,Type 13,Type 142
ÆKU IV 1,x,,,x,x,,,,,,,x,x,
ÆKU IV 2,,,,,x,,,,,x,,,,
ÆKU IV 3,,,,,x,,,,x,,,,,
ÆKU HV T 1,x,,,x,x,,x,x,,,,,,
ÆKU HV T 2,x,,,x,x,,x,x,,,,,,
ÆKU HV T 3,x,,,x,x,,x,,,,,,,
ÆKU HV IT 1,x,,,x,x,,,,x,,,,,
ÆKU HV IT 2,x,,,,x,,,,x,,,,,
ÆKU HV IT 3,x,,,x,x,,,,,,,,,
ÆKU NV T 1,x,,,,x,,x,,,,,,,
ÆKU NV T 2,,,,x,x,,x,,,,,,,
ÆKU NV T 3,x,,,x,x,,,x,,,,,,
ÆKU NV IT 1,,,,x,x,,,,,,,,,
ÆKU NV IT 2,,,,,x,,,,,,,,,
ÆKU NV IT 3,,,,x,x,,,,,,,,,
ÆKU GV T 1,,,,x,x,x,x,,,,,,,
ÆKU GV T 2,,,,x,x,x,,,,,,x,,
ÆKU GV T 3,,,,x,x,x,,,x,,x,,,
ÆKU GV IT 1,,,,x,x,,,,,,,,,
ÆKU GV IT 2,,,,x,x,,,,,,,,,
ÆKU GV IT 3,x,,,,x,,,,,,,,,
ÆKD IV 1,x,x,,x,x,,,,,,,,,
ÆKD IV 2,,x,,x,x,x,,,x,x,,,,
ÆKD IV 3,,x,,x,x,x,x,x,,,,,,
ÆKD HV T 1,x,,,x,,,x,,,,,,,
ÆKD HV T 2,x,,,x,x,,,x,,,,,,
ÆKD HV T 3,,,,x,x,,x,,,,,,,
ÆKD HV IT 1,x,,,x,x,,x,x,,,,,,x
ÆKD HV IT 2,,,,,x,,x,,,,,,,x
ÆKD HV IT 3,x,,,,x,,x,,,,,,,x
ÆKD NV T 1,x,,x,x,x,x,,x,,,,,,
ÆKD NV T 2,x,x,,x,x,,x,x,,,,,,
ÆKD NV T 3,x,,,x,x,,x,x,,,,,,
ÆKD NV IT 1,x,,,x,x,,x,x,,,,,,
ÆKD NV IT 2,x,,,x,x,,x,x,,,,,,
ÆKD NV IT 3,x,,,x,x,,,x,,,,,,
ÆKD GV T 1,,x,,x,x,,x,x,,,,,,
ÆKD GV T 2,,x,,,x,,x,,,,x,,,
ÆKD GV T 3,,,x,,x,x,x,,x,,,,,
ÆKD GV IT 1,,,x,x,x,x,,,,,x,x,,
ÆKD GV IT 2,x,x,x,x,x,,x,,,,,,,
ÆKD GV IT 3,x,,,x,x,,x,x,,,,,,
ÆØD IV 1,,x,x,x,x,,,,x,,x,,,
ÆØD IV 2,,x,,x,x,,,,,,,,,
ÆØD IV 3,,x,,,x,,x,x,,,,,,
ÆØD HV T 1,,x,,,x,,x,,,,,,,
ÆØD HV T 2,,x,,,x,x,x,,x,,,,,
ÆØD HV T 3,,x,,,x,,x,,,,,,,
ÆØD HV IT 1,x,x,,x,x,,x,,,,,,,
ÆØD HV IT 2,,x,,x,x,,x,,x,,,,x,
ÆØD HV IT 3,x,x,,x,x,,x,,x,,,,,
ÆØD NV T 1,x,x,,x,x,,x,,,,,,,
ÆØD NV T 2,,x,x,x,x,,,,,,,,,
ÆØD NV T 3,x,,,x,x,,x,,,,,,,
ÆØD NV IT 1,,x,x,x,x,,x,x,x,,,,,
ÆØD NV IT 2,,x,,x,x,,x,,,,,,,
ÆØD NV IT 3,x,x,x,x,x,,x,x,,,x,,,
ÆØD GV T 1,,x,,x,x,,,,,,,,,
ÆØD GV T 2,,x,,x,x,x,,,,,,,,
ÆØD GV T 3,,x,,x,x,,,,x,,,,,
ÆØD GV IT 1,,x,,x,x,,x,x,,,,,,
ÆØD GV IT 2,x,x,x,,x,,,,,,,,,
ÆØD GV IT 3,,x,,x,x,x,,x,,,,,,
